Monday,ITEC 102,Fundamentals of Programming,8:00 AM - 10:00 AM,B
Monday,GEC 102,Readings in Philippine History,10:00 AM - 12:00 PM,B
Monday,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,01:00 PM - 02:00 PM,B
Monday,GEC 101,Understanding the Self,04:00 PM - 05:00 PM,B
Tuesday,GEC 101,Understanding the Self,09:30 AM - 11:30 AM,B
Tuesday,GEC 102,Readings in Philippine History,11:30 AM - 12:30 PM,B
Tuesday,PI 100,Life and Works of Jose Rizal,02:00 PM - 03:00 PM,B
Tuesday,ITEC 101,Introduction to Computing,03:00 PM - 05:00 PM,B
Thursday,ITEC 101,Introduction to Computing,09:00 AM - 10:00 AM,B
Thursday,PI 100,Life and Works of Jose Rizal,10:00 AM - 12:00 PM,B
Thursday,PATHFIT,PATHFit 1: Movement Competency Training or MCT,03:00 PM - 05:00 PM,B
Friday,ITEC 102 (LAB),Fundamentals of Programming,07:30 AM - 09:30 AM,B
Friday,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,10:00 AM - 12:00 PM,B
Monday,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,10:00 AM - 12:00 PM,A
Monday,PI 100,Life and Works of Jose Rizal,04:00 PM - 05:00 PM,A
Wednesday,GEC 102,Reading in Philippine History,07:30 AM - 09:30 AM,A
Wednesday,ITEC 101,Introduction to Computing,09:30 AM - 10:30 AM,A
Wednesday,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,01:00 PM - 02:00 PM,A
Wednesday,PI 100,Life and Works of Jose Rizal,03:00 PM - 05:00 PM,A
Thursday,ITEC 102 (LAB),Fundamentals of Programming,09:00 AM - 10:30 AM,A
Thursday,GEC 101,Understanding the Self,01:00 PM - 03:00 PM,A
Thursday,ITEC 101,Introduction to Computing,03:00 PM - 05:00 PM,A
Friday,ITEC 102 (LAB),Fundamentals of Programming,07:30 AM - 10:30 AM,A
Friday,PATHFIT,PATHfit 1:Movement Competency Training or MCT,01:00 PM - 03:00 PM,A
Friday,GEC 102,Reading in Philippine History,03:00 PM - 04:00 PM,A
Friday,GEC 101,Understanding the Self,04:00 PM - 05:00 PM,A
