Section,Subject Code,Subject Title,Units,Time
BSCS 1A,GEC 101,Understanding the Self,3,01:00 PM - 03:00 PM / Thu 
,,,S,04:00 PM - 05:00 PM / Fri
BSCS 1A,GEC 102,Readings in Philippine History,3,07:30 AM - 09:30 AM / Wed 
,,,,03:00 PM - 04:00 PM / Fri
BSCS 1A,PI 100,Life and Works of Jose Rizal,3,03:00 PM - 05:00 PM / Wed 
,,,,04:00 PM - 05:00 PM / Mon
BSCS 1A,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,10:00 AM - 12:00 PM / Mon 
,,,,01:00 PM - 02:00 PM / Wed
BSCS 1A,NSTP 1,CTWS 1,(3),08:00 AM - 12:00 PM / Sat
BSCS 1A,ITEC 101,Introduction to Computing,3,03:00 PM - 05:00 PM / Thu 
,,,,09:30 AM - 10:30 AM / Wed
BSCS 1A,ITEC 102,Fundamentals of Programming,3,07:30 AM - 10:30 AM / Fri 
,,,,09:00 AM - 11:00 AM / Thu
BSCS 1A,PATHFIT,PATHFit 1: Movement Competency Training,2,01:00 PM - 03:00 PM / Fri
